사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021072700100353,2021년 7월 27일 15시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,62세,상해없음,개인형이동수단(PM),남,58세,경상
2021072700100472,2021년 7월 27일 18시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,34세,상해없음,이륜,남,33세,경상
2021072800100004,2021년 7월 28일 00시,수요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,17세,경상,,,,
2021072800100029,2021년 7월 28일 05시,수요일,충청남도 천안시 서북구 성환읍,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,개인형이동수단(PM),남,17세,경상
2021072800100048,2021년 7월 28일 06시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,41세,상해없음,이륜,남,17세,경상
2021072800100070,2021년 7월 28일 07시,수요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,승용,남,41세,상해없음,승용,남,30세,경상
2021072800100094,2021년 7월 28일 08시,수요일,충청남도 천안시 동남구 북면,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,이륜,남,68세,중상
2021072800100188,2021년 7월 28일 11시,수요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,승용,남,33세,경상
2021072800100295,2021년 7월 28일 14시,수요일,충청남도 천안시 서북구 입장면,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,건설기계,남,50세,경상
2021072800100328,2021년 7월 28일 15시,수요일,충청남도 천안시 동남구 다가동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,43세,상해없음,승용,남,60세,경상
